dataset_name,strategy,compute_time,fit_time_1,fit_time_2,fit_time_3,fit_time_4,fit_time_5,score_time_1,score_time_2,score_time_3,score_time_4,score_time_5,test_r2_1,test_r2_2,test_r2_3,test_r2_4,test_r2_5,test_neg_mean_squared_error_1,test_neg_mean_squared_error_2,test_neg_mean_squared_error_3,test_neg_mean_squared_error_4,test_neg_mean_squared_error_5,test_neg_mean_absolute_error_1,test_neg_mean_absolute_error_2,test_neg_mean_absolute_error_3,test_neg_mean_absolute_error_4,test_neg_mean_absolute_error_5
midwest_survey,BERT : val_col last,0 days 00:01:32.399404,85.61091995239258,85.58028626441956,78.36842012405396,84.46303081512451,85.652024269104,1.8977124691009521,2.0041794776916504,2.211883783340454,1.9594650268554688,2.201632499694824,0.749498997995992,0.7735470941883767,0.781563126252505,0.7575150300601202,0.8172690763052208,0.9548843943440605,0.9554368901300074,0.9497963363810157,0.9621459341075899,0.9661226267956456,0.7390735140561813,0.7707182029552161,0.7711165495506851,0.7514346193929208,0.8142901247267996
midwest_survey,BERT : val_col last_four,0 days 00:07:05.447414,387.7482678890228,392.04954767227173,388.09420132637024,387.2259750366211,390.1248905658722,8.314819812774658,8.663322687149048,7.732239007949829,7.931601524353027,8.421144485473633,0.7675350701402806,0.7935871743486974,0.7755511022044088,0.7635270541082164,0.8192771084337349,0.9593483660874477,0.9612431930743548,0.9525354841868765,0.9586714444683199,0.9708749819519598,0.7597632200252036,0.7890094030801463,0.7649201501924736,0.7578134693843871,0.8129337856403716
midwest_survey,BERT : val_col_sep last,0 days 00:01:31.181666,74.83405542373657,84.78191566467285,83.5930814743042,83.71513962745667,82.33033752441406,2.4489476680755615,1.920731544494629,1.893826961517334,1.8350920677185059,1.7587203979492188,0.7715430861723447,0.749498997995992,0.7875751503006012,0.7635270541082164,0.8172690763052208,0.9568702047203723,0.9604207019425259,0.9556973697394583,0.9624292002337326,0.9707557285217477,0.7639601747195207,0.7425125989534445,0.7787745220217628,0.758256620487285,0.8133170438145703
midwest_survey,BERT : val_col_sep last_four,0 days 00:07:08.352891,388.59386706352234,389.8937556743622,390.545658826828,390.396847486496,389.9668037891388,8.197707891464233,8.211081981658936,7.987183332443237,8.560052871704102,8.169217109680176,0.7775551102204409,0.7735470941883767,0.7975951903807615,0.7735470941883767,0.8132530120481928,0.95942943186994,0.9614002267207132,0.9572119975477315,0.9626790022024605,0.9685622055848457,0.7686155525725267,0.7690443831087731,0.7871306441922141,0.7678549551311945,0.8102641038506224
adult,TableVectorizer,0 days 00:00:13.911562,7.189213037490845,7.4612884521484375,6.687419176101685,7.357467889785767,7.40264368057251,0.5391571521759033,0.5287971496582031,0.6316266059875488,0.5228149890899658,0.5400390625,0.8679563949025026,0.8703931203931204,0.8723894348894349,0.8753071253071253,0.8736179361179361,0.9263259661813328,0.9234209498423155,0.9289929222599234,0.9287471208143452,0.9285055117313915,,,,,
adult,BERT : val last,0 days 00:01:22.055854,32.376940965652466,37.62143874168396,39.1774582862854,40.792808532714844,41.54510712623596,6.165722131729126,6.495912790298462,6.432615280151367,6.467014789581299,6.318807363510132,0.868417012129587,0.8717751842751843,0.8730036855036855,0.8759213759213759,0.874539312039312,0.9255082030275091,0.9240486432740572,0.9284826149816723,0.9281882466275345,0.928004943634007,,,,,
adult,BERT : val last_four,0 days 00:13:38.773686,302.80788946151733,298.4574820995331,307.954491853714,292.5316243171692,319.9470064640045,61.89731216430664,62.30840039253235,60.949740409851074,61.31238389015198,60.66310715675354,0.868417012129587,0.8720823095823096,0.8725429975429976,0.8743857493857494,0.874539312039312,0.9258809565798511,0.9236874551094709,0.9274585175392972,0.927462580906149,0.9278401515339145,,,,,
adult,BERT : val_col last,0 days 00:01:10.550781,34.09563636779785,40.42459535598755,38.73943209648132,37.914846658706665,34.10170269012451,5.105589866638184,6.333026647567749,6.063400983810425,4.859677314758301,5.949644327163696,0.8687240902809765,0.870085995085995,0.8716216216216216,0.8756142506142506,0.8743857493857494,0.9260274023814976,0.9219183425797504,0.927095523433888,0.9285066081954628,0.9279252887441384,,,,,
adult,BERT : val_col last_four,0 days 00:13:39.324369,314.1019082069397,320.43200278282166,306.4453830718994,311.6607747077942,315.94401144981384,63.30336356163025,61.02340579032898,63.74645376205444,63.84231162071228,61.21122121810913,0.8682634730538922,0.8707002457002457,0.8733108108108109,0.8763820638820639,0.8737714987714987,0.9262397874679522,0.9235786471748894,0.9285299564303878,0.928489709749191,0.9273885373324088,,,,,
adult,BERT : val_col_sep last,0 days 00:01:08.272110,37.839685916900635,39.27900719642639,33.896092653274536,35.0299437046051,37.191954612731934,6.294966697692871,6.321283340454102,6.261454343795776,4.351752519607544,6.595660448074341,0.8673422385997236,0.8696253071253072,0.8713144963144963,0.8734643734643734,0.8759213759213759,0.9258408644633793,0.923064792512879,0.9286724322617397,0.927956570219107,0.9276815512309293,,,,,
adult,BERT : val_col_sep last_four,0 days 00:13:32.592000,315.923321723938,307.3502559661865,313.7456970214844,294.74781608581543,315.53683257102966,59.79367470741272,59.46277451515198,61.210310220718384,57.63124942779541,62.302018880844116,0.8678028558268079,0.8708538083538083,0.8731572481572482,0.8740786240786241,0.8737714987714987,0.9267486092805386,0.922861366178753,0.9273024971517734,0.9283640033683377,0.9278235110791889,,,,,
house_sales,TableVectorizer,0 days 00:00:05.977451,0.8851854801177979,0.889723539352417,1.0662503242492676,0.8695886135101318,0.9128220081329346,0.0906972885131836,0.10720610618591309,0.12490677833557129,0.10339951515197754,0.09946203231811523,0.8755509567586442,0.884869256024601,0.8876615839476685,0.8741382423043266,0.8897285549088314,-18851036845.07147,-16144401488.51357,-13123022118.40782,-15976403362.547434,-15147196126.002752,-70899.22510444344,-65480.1115242076,-65640.20842679353,-69771.4339414911,-68435.5280597569
house_sales,BERT : val last,0 days 00:00:44.924122,28.95474624633789,27.863987684249878,32.78775691986084,30.817720890045166,32.48467469215393,1.66795015335083,1.8997747898101807,1.8713922500610352,1.7639906406402588,1.701725721359253,0.8605960426580113,0.8641649484872167,0.8794754368183124,0.8776513240797569,0.8822558169071497,-21116346640.817863,-19047697705.348686,-14079302201.554403,-15530466387.587982,-16173672454.630924,-71240.72375655007,-68543.2732791549,-66638.73454712445,-70342.05544993613,-70551.2449987958
house_sales,BERT : val last_four,0 days 00:06:53.606194,249.05365586280823,242.85755372047424,224.41020107269287,230.9216730594635,247.47752022743225,20.892882347106934,19.72326350212097,23.39079713821411,21.873399257659912,21.731318473815918,0.8631829790580186,0.8591625580924767,0.8711794746226886,0.8704976930372285,0.8806356314965227,-20724487996.329803,-19749166280.52114,-15048410536.996235,-16438520566.511963,-16396225683.664652,-71054.78819883545,-68502.28855566708,-68072.06856435283,-71694.45835274068,-70774.44472462733
house_sales,BERT : val_col last,0 days 00:00:42.869298,32.10309433937073,30.49489688873291,31.671228408813477,26.64047408103943,25.526091814041138,2.142005205154419,1.9512627124786377,1.9846453666687012,1.8940727710723877,1.8843238353729248,0.8657208864328971,0.8673245348225721,0.8642686848522163,0.878344560838159,0.8740167982262135,-20340056069.91933,-18604639417.229767,-15855707365.637009,-15442469602.220034,-17305407254.540035,-70350.43372643748,-68383.91927223542,-67102.4836634016,-71080.83507862102,-73133.6874380477
house_sales,BERT : val_col last_four,0 days 00:06:50.185443,243.4116690158844,212.70595026016235,234.87576341629028,239.73810076713562,225.89173817634583,22.208573818206787,22.378181219100952,23.264915943145752,22.73449182510376,22.831618309020996,0.8606354196473609,0.8648837738690891,0.8759222488819305,0.8746075328978039,0.8791898459370134,-21110381974.01334,-18946899211.702538,-14494374493.995125,-15916833434.771818,-16594822858.190884,-71621.89504031908,-69745.70954200132,-66758.6867675144,-70822.0827652293,-72685.09618388105
house_sales,BERT : val_col_sep last,0 days 00:00:42.782165,28.062785387039185,27.633334398269653,29.17037534713745,26.441176652908325,32.09262418746948,2.1309194564819336,1.7948739528656006,1.7582073211669922,2.0815696716308594,2.204761266708374,0.8634040616160259,0.8698731261086587,0.8855696222726038,0.8634033031912003,0.8709148542635037,-20690999306.19407,-18247258933.68576,-13367398532.972416,-17339054897.721317,-17731499009.62847,-71007.11394022583,-68438.04861118659,-66241.53635430628,-71795.46601195083,-70648.62687878523
house_sales,BERT : val_col_sep last_four,0 days 00:06:51.508545,243.65065097808838,242.48454809188843,241.082448720932,236.74807000160217,242.98623609542847,22.595808029174805,22.423070192337036,24.074180603027344,22.793466567993164,22.80350971221924,0.8695028174888099,0.8587967665064205,0.8704796805363065,0.86280251601138,0.8833665212463173,-19767184476.665977,-19800460018.600998,-15130158291.65253,-17415316492.153072,-16021102979.827503,-71087.26894155171,-68646.57282682182,-66815.15361772741,-71693.95680162386,-71218.88980535022
journal_influence,TableVectorizer,0 days 00:00:16.100357,13.045276641845703,12.1271333694458,12.59061861038208,11.556283950805664,12.460936307907104,0.48574018478393555,0.4691586494445801,0.6332848072052002,0.676008939743042,0.5562171936035156,0.9196199340500333,0.9954969064158861,0.9768898859935243,0.9522524488392705,0.98972400046795,-0.22792995079617098,-0.011912336753764727,-0.04921622242334113,-0.18530105265594873,-0.026616994841838916,-0.03556338518629939,-0.03072642128998491,-0.02129941579559408,-0.05775910666417678,-0.033634536894166886
journal_influence,BERT : val last,0 days 00:00:20.162214,15.24347472190857,15.598348617553711,16.037642002105713,15.540143728256226,15.6453378200531,0.7572617530822754,0.7365436553955078,0.7336173057556152,0.798896074295044,0.8080897331237793,0.9112402573919433,0.997435322862856,0.9784341346613598,0.9495092192553557,0.992085200843779,-0.2516918035116834,-0.006784513168929089,-0.045927528741785045,-0.19594711339035611,-0.020500990454336634,-0.04172738879700644,-0.029111791342049262,-0.023036330222596664,-0.062187760288652666,-0.03921585711913567
journal_influence,BERT : val last_four,0 days 00:01:42.787344,75.22907900810242,75.62900733947754,79.54492139816284,76.807621717453,77.05110836029053,4.957732200622559,5.282363414764404,4.502994537353516,4.926567077636719,4.7940919399261475,0.9008740137900643,0.9951971412814872,0.9756412728411186,0.9506140804759314,0.9919622169834309,-0.28108687013912487,-0.012705325653794598,-0.05187531889566013,-0.19165931344597273,-0.02081954445643693,-0.043258900333146014,-0.04215683092979817,-0.023409053075260228,-0.06842286039946727,-0.04735379188438279
journal_influence,BERT : val_col last,0 days 00:00:22.504328,17.075559854507446,16.78925085067749,17.33781361579895,16.909419059753418,16.45914125442505,0.8781514167785645,0.8221573829650879,0.9237477779388428,0.7353324890136719,0.7174029350280762,0.9067147801882566,0.9949196016451567,0.9733715381203659,0.9457704185113097,0.9905746101352981,-0.2645244851495358,-0.013439519946835428,-0.05670903667079714,-0.21045683580963606,-0.024413737333154713,-0.038790935247583466,-0.036672898546134564,-0.024765256425898347,-0.06911745930567048,-0.04123809002733897
journal_influence,BERT : val_col last_four,0 days 00:01:41.537673,77.66778469085693,77.9261531829834,77.43342614173889,77.28881669044495,74.50464916229248,4.584799766540527,4.892032146453857,4.975107431411743,4.5874409675598145,3.7599806785583496,0.9061927200004822,0.9965436519818685,0.9737662785505893,0.9488326036907977,0.9925412775467518,-0.2660048665289952,-0.009143310206885783,-0.055868381674118554,-0.19857295646100784,-0.01931965610212622,-0.040913744670061696,-0.035608614878788074,-0.026812050979696654,-0.06990459261360862,-0.045218755731016545
journal_influence,BERT : val_col_sep last,0 days 00:00:20.978595,15.732038259506226,16.195634841918945,15.609611511230469,15.311447620391846,16.18419051170349,0.8415579795837402,1.144136667251587,0.8852720260620117,0.8150463104248047,0.8301067352294922,0.906942103727516,0.9964543862339518,0.9693354576408417,0.948778937208896,0.9896708301836485,-0.26387987454234285,-0.009379450902142724,-0.06530443496883707,-0.1987812279921544,-0.026754717034077044,-0.040673369152974724,-0.02810917768415879,-0.026268046759192316,-0.06568806402399063,-0.04183640109268204
journal_influence,BERT : val_col_sep last_four,0 days 00:01:41.977757,76.67488050460815,78.85495710372925,77.78205013275146,74.2803897857666,79.35195469856262,4.20494270324707,4.927512884140015,4.845155954360962,4.136544466018677,4.732364892959595,0.9008465572921388,0.9972908840792921,0.972915352979235,0.9509582716995124,0.9920646806196785,-0.2811647272315173,-0.007166606811439033,-0.05768054677956718,-0.19032355916132274,-0.02055414214019781,-0.03968576507624634,-0.03040500583931636,-0.02732741920893777,-0.06844542532906615,-0.042376818910570324
vancouver_employee,TableVectorizer,0 days 00:01:21.565665,71.468665599823,76.50446319580078,67.132493019104,74.2218086719513,73.19734144210815,1.2175343036651611,1.5616979598999023,1.3360183238983154,1.1835510730743408,1.0554265975952148,0.7036476505725225,0.7710721250785099,0.7554517271374204,0.6617433894275878,0.5435377877689986,-182664633.61243355,-145202492.41975272,-150292051.49671257,-195965786.20345205,-217479370.61992875,-9341.068674807699,-8423.102231315197,-8569.64124683104,-9884.235915680332,-10115.6182218253
vancouver_employee,BERT : val last,0 days 00:01:07.570948,46.02632117271423,46.01098608970642,45.63713455200195,48.850454807281494,48.94841504096985,2.8102335929870605,2.855783700942993,2.6459500789642334,2.5127112865448,2.6252408027648926,0.6306211398555543,0.7149892863276506,0.7092534063507794,0.6146622611959833,0.4584646523815763,-227676461.0869912,-180774254.79859182,-178684157.17569706,-223241795.0703262,-258012083.83246845,-10417.013413150444,-9380.990618873062,-9214.10449517778,-10384.5169625279,-10733.245272051536
vancouver_employee,BERT : val last_four,0 days 00:09:52.140459,343.1125657558441,348.2199194431305,340.7557706832886,353.316241979599,345.6542332172394,30.46199679374695,31.563503742218018,30.829622745513916,28.65593695640564,30.712034225463867,0.6481444579115171,0.7315153283107494,0.7330839099764468,0.6216072724437514,0.46677463378274464,-216875499.06138095,-170292252.61077458,-164038642.66775376,-219218268.11823633,-254052830.52175885,-10070.706682170117,-8947.307387809311,-8887.528645270453,-10187.732294961901,-10433.300134214483
